judge_model,language,dimension,protocol_a,protocol_b,mean_abs_shift,median_abs_shift,n
gpt-4o-mini,en-US,comprehensibility,P0_direct_english,P1_target_rubric,0.35,0.0,20
gpt-4o-mini,en-US,grammar,P0_direct_english,P1_target_rubric,0.6,1.0,20
gpt-4o-mini,es-ES,comprehensibility,P0_direct_english,P1_target_rubric,0.55,1.0,20
gpt-4o-mini,es-ES,grammar,P0_direct_english,P1_target_rubric,0.45,0.0,20
gpt-4o-mini,tr,comprehensibility,P0_direct_english,P1_target_rubric,0.6,0.0,20
gpt-4o-mini,tr,grammar,P0_direct_english,P1_target_rubric,0.55,0.5,20
gpt-4o-mini,vi,comprehensibility,P0_direct_english,P1_target_rubric,0.45,0.0,20
gpt-4o-mini,vi,grammar,P0_direct_english,P1_target_rubric,0.65,1.0,20
gpt-4o-mini,en-US,comprehensibility,P0_direct_english,P2_pivot_in_prompt,0.45,0.0,20
gpt-4o-mini,en-US,grammar,P0_direct_english,P2_pivot_in_prompt,0.5,0.0,20
gpt-4o-mini,es-ES,comprehensibility,P0_direct_english,P2_pivot_in_prompt,0.4,0.0,20
gpt-4o-mini,es-ES,grammar,P0_direct_english,P2_pivot_in_prompt,0.5,0.5,20
gpt-4o-mini,tr,comprehensibility,P0_direct_english,P2_pivot_in_prompt,0.4444444444444444,0.0,18
gpt-4o-mini,tr,grammar,P0_direct_english,P2_pivot_in_prompt,0.15,0.0,20
gpt-4o-mini,vi,comprehensibility,P0_direct_english,P2_pivot_in_prompt,0.7,1.0,20
gpt-4o-mini,vi,grammar,P0_direct_english,P2_pivot_in_prompt,0.35,0.0,20
gpt-4o-mini,en-US,comprehensibility,P0_direct_english,P3_bilingual,0.15,0.0,20
gpt-4o-mini,en-US,grammar,P0_direct_english,P3_bilingual,0.2,0.0,20
gpt-4o-mini,es-ES,comprehensibility,P0_direct_english,P3_bilingual,0.1,0.0,20
gpt-4o-mini,es-ES,grammar,P0_direct_english,P3_bilingual,0.05,0.0,20
gpt-4o-mini,tr,comprehensibility,P0_direct_english,P3_bilingual,0.3,0.0,20
gpt-4o-mini,tr,grammar,P0_direct_english,P3_bilingual,0.25,0.0,20
gpt-4o-mini,vi,comprehensibility,P0_direct_english,P3_bilingual,0.3,0.0,20
gpt-4o-mini,vi,grammar,P0_direct_english,P3_bilingual,0.35,0.0,20
gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,P2_pivot_in_prompt,0.8,1.0,20
gpt-4o-mini,en-US,grammar,P1_target_rubric,P2_pivot_in_prompt,1.1,1.0,20
gpt-4o-mini,es-ES,comprehensibility,P1_target_rubric,P2_pivot_in_prompt,0.95,1.0,20
gpt-4o-mini,es-ES,grammar,P1_target_rubric,P2_pivot_in_prompt,0.95,1.0,20
gpt-4o-mini,tr,comprehensibility,P1_target_rubric,P2_pivot_in_prompt,1.1111111111111112,1.0,18
gpt-4o-mini,tr,grammar,P1_target_rubric,P2_pivot_in_prompt,0.7,1.0,20
gpt-4o-mini,vi,comprehensibility,P1_target_rubric,P2_pivot_in_prompt,1.05,1.0,20
gpt-4o-mini,vi,grammar,P1_target_rubric,P2_pivot_in_prompt,0.9,1.0,20
gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,P3_bilingual,0.4,0.0,20
gpt-4o-mini,en-US,grammar,P1_target_rubric,P3_bilingual,0.7,1.0,20
gpt-4o-mini,es-ES,comprehensibility,P1_target_rubric,P3_bilingual,0.45,0.0,20
gpt-4o-mini,es-ES,grammar,P1_target_rubric,P3_bilingual,0.4,0.0,20
gpt-4o-mini,tr,comprehensibility,P1_target_rubric,P3_bilingual,0.5,0.0,20
gpt-4o-mini,tr,grammar,P1_target_rubric,P3_bilingual,0.4,0.0,20
gpt-4o-mini,vi,comprehensibility,P1_target_rubric,P3_bilingual,0.65,1.0,20
gpt-4o-mini,vi,grammar,P1_target_rubric,P3_bilingual,0.8,1.0,20
gpt-4o-mini,en-US,comprehensibility,P2_pivot_in_prompt,P3_bilingual,0.5,0.5,20
gpt-4o-mini,en-US,grammar,P2_pivot_in_prompt,P3_bilingual,0.5,0.0,20
gpt-4o-mini,es-ES,comprehensibility,P2_pivot_in_prompt,P3_bilingual,0.5,0.0,20
gpt-4o-mini,es-ES,grammar,P2_pivot_in_prompt,P3_bilingual,0.55,1.0,20
gpt-4o-mini,tr,comprehensibility,P2_pivot_in_prompt,P3_bilingual,0.6666666666666666,1.0,18
gpt-4o-mini,tr,grammar,P2_pivot_in_prompt,P3_bilingual,0.4,0.0,20
gpt-4o-mini,vi,comprehensibility,P2_pivot_in_prompt,P3_bilingual,0.6,0.5,20
gpt-4o-mini,vi,grammar,P2_pivot_in_prompt,P3_bilingual,0.3,0.0,20
