judge_model,language,dimension,protocol_a,protocol_a_name,protocol_b,protocol_b_name,n,mean_score_a,mean_score_b,mean_score_delta_b_minus_a,mean_abs_score_shift,score_disagreement_rate,large_shift_rate_abs_ge_2,spearman_delta_b_minus_a,spearman_delta_ci_low,spearman_delta_ci_high,spearman_prob_delta_gt_0,auroc_delta_b_minus_a,auroc_delta_ci_low,auroc_delta_ci_high,auroc_prob_delta_gt_0
gpt-4o-mini,es-ES,main_ideas,P0_direct_english,Direct English rubric,P1_target_rubric,Target-language rubric,30,1.9,1.5666666666666667,-0.3333333333333333,0.4,0.36666666666666664,0.03333333333333333,-0.06437685666347248,-0.3243506548224021,0.19855132586236432,0.304,-0.04444444444444451,-0.17824900793650789,0.09505555555555548,0.264
gpt-4o-mini,es-ES,main_ideas,P0_direct_english,Direct English rubric,P2_explicit_pivot,Explicit English pivot,30,1.9,1.7333333333333334,-0.16666666666666666,0.23333333333333334,0.23333333333333334,0.0,0.026390092270211496,-0.14220256121597716,0.1956990807351633,0.667,0.008888888888888835,-0.08260788690476188,0.1071428571428572,0.577
gpt-4o-mini,es-ES,main_ideas,P0_direct_english,Direct English rubric,P3_bilingual,Bilingual rubric,30,1.9,1.6666666666666667,-0.23333333333333334,0.23333333333333334,0.23333333333333334,0.0,-0.056104066215050874,-0.2528834939461943,0.13090521735476737,0.313,-0.0377777777777778,-0.14479638009049767,0.057418361244019105,0.228
gpt-4o-mini,es-ES,main_ideas,P1_target_rubric,Target-language rubric,P2_explicit_pivot,Explicit English pivot,30,1.5666666666666667,1.7333333333333334,0.16666666666666666,0.23333333333333334,0.2,0.03333333333333333,0.09076694893368398,-0.11669056030059535,0.2955606986801677,0.808,0.053333333333333344,-0.060323660714285667,0.1607142857142857,0.83
gpt-4o-mini,es-ES,main_ideas,P1_target_rubric,Target-language rubric,P3_bilingual,Bilingual rubric,30,1.5666666666666667,1.6666666666666667,0.1,0.16666666666666666,0.13333333333333333,0.03333333333333333,0.008272790448421607,-0.16089072036607519,0.1805792293362796,0.554,0.00666666666666671,-0.07894736842105254,0.09999999999999998,0.522
gpt-4o-mini,es-ES,main_ideas,P2_explicit_pivot,Explicit English pivot,P3_bilingual,Bilingual rubric,30,1.7333333333333334,1.6666666666666667,-0.06666666666666667,0.13333333333333333,0.13333333333333333,0.0,-0.08249415848526237,-0.21089891756498985,0.0,0.016,-0.046666666666666634,-0.11934862012987008,0.0,0.0
gpt-4o-mini,tr,main_ideas,P0_direct_english,Direct English rubric,P1_target_rubric,Target-language rubric,30,1.8666666666666667,1.9333333333333333,0.06666666666666667,0.26666666666666666,0.26666666666666666,0.0,0.03209760854713095,-0.217390928756905,0.3020606987160465,0.586,-0.026666666666666616,-0.15557291666666667,0.11111111111111116,0.339
gpt-4o-mini,tr,main_ideas,P0_direct_english,Direct English rubric,P2_explicit_pivot,Explicit English pivot,30,1.8666666666666667,1.7333333333333334,-0.13333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.12482888600022585,-0.40530907766692514,0.15060414068396505,0.183,-0.06888888888888889,-0.22752516968325795,0.08485400290498975,0.15
gpt-4o-mini,tr,main_ideas,P0_direct_english,Direct English rubric,P3_bilingual,Bilingual rubric,30,1.8666666666666667,1.7666666666666666,-0.1,0.23333333333333334,0.23333333333333334,0.0,0.12452746307035989,-0.09183266080126139,0.4230759976544768,0.844,0.05555555555555558,-0.06945833333333341,0.18783153886554618,0.768
gpt-4o-mini,tr,main_ideas,P1_target_rubric,Target-language rubric,P2_explicit_pivot,Explicit English pivot,30,1.9333333333333333,1.7333333333333334,-0.2,0.4,0.4,0.0,-0.1569264945473568,-0.49362707456928784,0.17377717602493364,0.214,-0.04222222222222227,-0.2222470238095238,0.12445833333333334,0.348
gpt-4o-mini,tr,main_ideas,P1_target_rubric,Target-language rubric,P3_bilingual,Bilingual rubric,30,1.9333333333333333,1.7666666666666666,-0.16666666666666666,0.23333333333333334,0.23333333333333334,0.0,0.09242985452322894,-0.1334592806311524,0.3091969950926649,0.82,0.0822222222222222,-0.04166666666666663,0.2194600062247121,0.907
gpt-4o-mini,tr,main_ideas,P2_explicit_pivot,Explicit English pivot,P3_bilingual,Bilingual rubric,30,1.7333333333333334,1.7666666666666666,0.03333333333333333,0.23333333333333334,0.23333333333333334,0.0,0.24935634907058574,0.0,0.5645206067546741,0.967,0.12444444444444447,0.0,0.2751860712387028,0.957
gpt-4o-mini,vi,main_ideas,P0_direct_english,Direct English rubric,P1_target_rubric,Target-language rubric,30,2.433333333333333,2.7,0.26666666666666666,0.4666666666666667,0.36666666666666664,0.1,-0.005020249693982098,-0.2993715560050148,0.3232854480842865,0.499,-0.0022222222222222365,-0.15333333333333332,0.16076882676147375,0.458
gpt-4o-mini,vi,main_ideas,P0_direct_english,Direct English rubric,P2_explicit_pivot,Explicit English pivot,30,2.433333333333333,2.2,-0.23333333333333334,0.23333333333333334,0.23333333333333334,0.0,-0.1432420394302416,-0.34922982782934586,0.037858753892000684,0.073,-0.0755555555555556,-0.18182828282828278,0.01787367724867723,0.046
gpt-4o-mini,vi,main_ideas,P0_direct_english,Direct English rubric,P3_bilingual,Bilingual rubric,30,2.433333333333333,2.433333333333333,0.0,0.2,0.2,0.0,0.051479720554112984,-0.0872129806890884,0.1819414609835947,0.785,0.03111111111111109,-0.0430113017429194,0.0982142857142857,0.812
gpt-4o-mini,vi,main_ideas,P1_target_rubric,Target-language rubric,P2_explicit_pivot,Explicit English pivot,30,2.7,2.2,-0.5,0.7,0.5333333333333333,0.13333333333333333,-0.1382217897362595,-0.5096447505280564,0.23181378344718734,0.23,-0.07333333333333336,-0.29186602870813394,0.11164501858435684,0.207
gpt-4o-mini,vi,main_ideas,P1_target_rubric,Target-language rubric,P3_bilingual,Bilingual rubric,30,2.7,2.433333333333333,-0.26666666666666666,0.6666666666666666,0.5666666666666667,0.1,0.05649997024809508,-0.25504335473027645,0.35855965466635237,0.642,0.033333333333333326,-0.13661954365079365,0.19342081447963796,0.655
gpt-4o-mini,vi,main_ideas,P2_explicit_pivot,Explicit English pivot,P3_bilingual,Bilingual rubric,30,2.2,2.433333333333333,0.23333333333333334,0.3,0.26666666666666666,0.03333333333333333,0.1947217599843546,0.018701263543026536,0.39258851941803036,0.982,0.10666666666666669,0.013282805429864231,0.21951357466063343,0.987
